year;party_id;votes;share
2006;M;1456014;26.23
2006;C;437389;7.88
2006;L;418395;7.54
2006;KD;365998;6.59
2006;S;1942625;34.99
2006;V;324722;5.85
2006;MP;291121;5.24
2006;SD;162463;2.93
2006;OTHER;152551;2.75
2010;M;1791766;30.06
2010;C;390804;6.56
2010;L;420524;7.06
2010;KD;333696;5.60
2010;S;1827497;30.66
2010;V;334053;5.60
2010;MP;437435;7.34
2010;SD;339610;5.70
2010;OTHER;85023;1.43
2014;M;1453517;23.33
2014;C;380937;6.11
2014;L;337773;5.42
2014;KD;284806;4.57
2014;S;1932711;31.01
2014;V;356331;5.72
2014;MP;429275;6.89
2014;SD;801178;12.86
2014;OTHER;255045;4.09
2018;M;1284698;19.84
2018;C;557500;8.61
2018;L;355546;5.49
2018;KD;409478;6.32
2018;S;1830386;28.26
2018;V;518454;8.00
2018;MP;285899;4.41
2018;SD;1135627;17.53
2018;OTHER;99137;1.53
